,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
48,ru000a0zyf61 ,нао 2017 ,1.94,104,53483,rub,100.0,sur,97.07,"96,84","97,98","97,08",13.95,,- ,- ,07.11.24,,"97,08","1,6",16.04.24,198,13.9746,198.0,-60.0,-61.0,16.04.24 18:39,7.76
49,ru000a0zzqq0 ,хабаркрай7 ,13.46,31,48332,rub,600.0,sur,93.67,"93,02","94,03","93,87",15.67,,- ,- ,24.10.25,,"93,79","13,02",16.04.24,396,15.8927,396.0,143.0,138.0,16.04.24 18:39,8.97
50,ru000a102ds6 ,нижгороб15 ,15.21,10,44946,rub,1000.0,sur,89.89,"89,65","89,94","89,87",15.58,,- ,- ,27.05.26,,"89,87","9,36",16.04.24,449,15.5586,449.0,145.0,134.0,16.04.24 18:39,6.08
51,ru000a0zyj18 ,тамбовоб17 ,13.96,23,44003,rub,700.0,sur,91.1,"90,41","92,81","91,35",15.4,,- ,- ,05.12.25,,"91,34","5,98",16.04.24,508,15.6226,508.0,123.0,120.0,16.04.24 18:39,7.98
52,ru000a100y84 ,белоб34013 ,4.36,50,43030,rub,250.0,sur,96.7,"96,38","97,6","96,51",15.21,,- ,- ,15.10.24,,"96,51",- ,16.04.24,179,14.7491,179.0,61.0,61.0,16.04.24 18:39,6.98
53,ru000a102ct6 ,свердлобл9 ,12.47,14,42440,rub,800.0,sur,86.97,"86,73","87,17","86,97",14.59,,- ,- ,17.11.27,,"86,97","8,49",16.04.24,662,14.585,662.0,71.0,51.0,16.04.24 18:39,6.24
54,ru000a0jxsd3 ,влгоб35007 ,5.91,33,42315,rub,300.0,sur,99.33,"99,22","99,63","99,24",14.78,,- ,"13,9091",02.06.24,,"99,27","2,86",16.04.24,45,13.9698,45.0,-14.0,-14.0,16.04.24 18:39,7.88
55,ru000a0zzut6 ,нижгороб13 ,4.71,22,41002,rub,200.0,sur,99.52,"99,37","99,98","99,5",14.33,,- ,"13,4821",24.05.24,,"99,5","2,9",16.04.24,37,14.1056,36.0,-62.0,-62.0,16.04.24 18:39,9.42
56,ru000a0zzsw4 ,камчкрай01 ,9.03,16,40959,rub,400.0,sur,97.52,"97,01","97,6","97,6",14.18,,- ,- ,11.11.24,,"97,6","6,35",16.04.24,201,14.3513,201.0,-36.0,-37.0,16.04.24 18:39,9.03
57,ru000a0jxr43 ,якут-09 об ,5.77,14,40493,rub,250.0,sur,99.98,"99,73",100,"99,74",12.38,,- ,"11,7215",16.05.24,,"99,74",4,16.04.24,29,01.09.96,28.0,-259.0,-259.0,16.04.24 18:39,9.23
58,ru000a1024l7 ,томскобл20 ,13.22,19,38551,rub,800.0,sur,87.62,"87,42","87,85","87,49",16.09,,- ,- ,23.07.27,,"87,49","9,84",16.04.24,563,15.9833,564.0,216.0,194.0,16.04.24 18:39,6.61
59,ru000a0jxt41 ,самаробл13 ,5.1,12,37912,rub,250.0,sur,99.12,"99,05","99,88","99,44",13.48,,- ,"12,745",31.05.24,,"99,44","2,58",16.04.24,44,16.5252,43.0,-144.0,-144.0,16.04.24 18:39,8.16
60,ru000a0zykh5 ,оренб35004 ,20.39,15,34092,rub,1000.0,sur,89.72,"88,75","90,24","90,1",13.58,,- ,- ,02.12.27,,"90,1","8,96",16.04.24,805,13.7991,804.0,-26.0,-37.0,16.04.24 18:39,8.16
61,ru000a103dn5 ,башкорт21 ,19.07,16,34023,rub,1000.0,sur,91.95,"91,77","92,09","92,09",15.37,,- ,- ,07.07.26,,"92,06","1,47",16.04.24,438,15.5166,438.0,127.0,112.0,16.04.24 18:39,7.63
62,ru000a100pr6 ,яробл35017 ,7.93,13,33862,rub,400.0,sur,96.2,"95,98","96,26","96,21",15.3,,- ,- ,24.06.25,,"96,21","1,83",16.04.24,218,15.3246,218.0,88.0,78.0,16.04.24 18:39,7.93
63,ru000a104bc0 ,калинобл21 ,23.68,16,33193,rub,1000.0,sur,92.2,"91,95","92,52","92,25",13.15,,- ,- ,14.12.28,,"92,25","6,77",16.04.24,971,13.177,971.0,-55.0,-65.0,16.04.24 18:39,9.47
64,ru000a1030t7 ,мгор73-об ,35.9,18,32978,rub,1000.0,sur,91.61,"91,33","91,89","91,89",12.2,,- ,- ,21.04.26,,"91,89","34,52",16.04.24,669,01.12.94,669.0,-183.0,-187.0,16.04.24 18:39,14.36
